anchor,radiative_case,planet,T_K,T_C,escape_velocity_km_s,phi_flux_W_m2,planet_gravity_m_s2,candidate_atmosphere,candidate_priority,mixture_name,mole_fractions,surface_pressure_bar,mean_molar_mass_g_mol,cp_mix_J_mol_K,column_density_mol_m2,albedo_assumed,emissivity_assumed,mixture_notes,redistribution_factor_atm,T_eq_atm_K,T_eq_atm_C,climate_classification,column_heat_capacity_J_m2_K,radiative_timescale_seconds,radiative_timescale_days,radiative_timescale_years
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,481372.8276682272,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.893461116502635,quente/marginal,17513595.03992204,3261383.609586527,37.747495481325544,0.10334701021581258
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,352189.95496617554,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,10669629.904695785,1756134.7036956116,20.325633144625133,0.05564855070397025
venus_hot,earth_surface_greenhouse_effective,Earth-like,338.2915849824837,65.14158498248372,11.184982503114451,2611.0,9.819767158161415,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,248791.37132762757,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,304.8239607495588,31.67396074955883,temperado,8916160.286502384,1734877.6287562733,20.07960218467909,0.0549749546466231
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,913685.0798346854,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,27306757.76997134,4661962.658251104,53.95790113716556,0.1477286821003848
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,1267772.7322278093,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.893461116502635,quente/marginal,46124868.20755149,8589378.07021012,99.41409803483936,0.2721809665567128
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,927548.86816834,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,28100185.716046676,4625063.076885449,53.530822649137136,0.14655940492576902
venus_hot,mars_like_radiative_case,Mars-like,308.75798677436813,35.60798677436816,5.027887186236593,2611.0,3.7285618816404313,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,655232.074711367,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,304.8239607495588,31.67396074955883,temperado,23482141.5702985,4569079.152521546,52.88286056159197,0.14478538141435174
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_H2O,alta,N2_CO2_H2O_baseline,"{'N2': 0.9, 'CO2': 0.09, 'H2O': 0.01}",1.0,29.35365,29.8864,384121.53634235216,0.3,0.85,"Atmosfera secundária de alto peso molecular, baseline rochoso/water world.",4.0,312.03518272885333,38.88518272885335,quente/marginal,11480009.883742074,1959931.5980754502,22.684393496243636,0.062106484589304956
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,CO2_N2_H2O,alta,CO2_dominated,"{'CO2': 0.9, 'N2': 0.09, 'H2O': 0.01}",2.0,42.31041,36.3826,532983.2131267783,0.35,0.75,"Atmosfera CO2-dominante por outgassing, efeito estufa mais forte.",4.0,316.0434611165026,42.893461116502635,quente/marginal,19391315.04990632,3611052.83797715,41.79459303214294,0.11442735943091839
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,N2_CO2_CH4_H2O,alta,reducing_CH4,"{'N2': 0.84, 'CO2': 0.1, 'CH4': 0.05, 'H2O': 0.01}",1.0,28.91491,30.2951,389949.99933445017,0.25,0.8,Atmosfera redutora tipo Terra arqueana simplificada.,4.0,322.31209650471794,49.162096504717965,quente/marginal,11813574.224837102,1944418.6777078225,22.5048458068035,0.06161490980644353
venus_hot,venus_greenhouse_effective,Venus-like,681.781801277912,408.631801277912,10.360937957550536,2611.0,8.868889239938161,sulfur_volcanic,média,sulfur_volcanic,"{'CO2': 0.8, 'N2': 0.15, 'H2O': 0.03, 'SO2': 0.01, 'H2S': 0.01}",1.0,40.93205,35.8379,275465.5370365199,0.4,0.8,Atmosfera secundária vulcânica/sulfurada.,4.0,304.8239607495588,31.67396074955883,temperado,9872106.369761096,1920882.5255786583,22.23243663864188,0.060869094150970235
